n,seed,res64,err64,res32,err32,res_mixed,err_mixed
512,25,4.209293105553642e-12,1.7981827768080243e-12,3857.6862440120335,176.724057064718,9.026036319776514e+16,4036737050061119.5
512,26,3.718257921478571e-12,3.1713007344859276e-12,23277.581938887855,1068.8504511452045,2.5240778442584957e+21,1.1147933383341236e+20
512,27,4.13713784379418e-12,3.0415902027921682e-12,17484.529972949247,798.9216413506884,8.501992876350443e+20,3.845493487202045e+19
512,28,3.290680376197165e-12,6.022056219532573e-12,16055.557499195473,699.993532639862,1.4890872704611369e+25,6.266220310684479e+23
512,29,3.3332008929821626e-12,3.955878513212874e-12,73458.89831646661,3262.8635377984665,1.4329118217770647e+25,6.451538779251663e+23
1024,0,1.6204948081383234e-11,1.7887814074294697e-11,50633.77416466599,1537.3689144329287,2.507060029859401e+20,7.799727156320657e+18
1024,1,1.6711542128289258e-11,7.747877049720948e-12,24495.299259990123,750.2675672568145,4.56746072744834e+18,1.4874557233852842e+17
1024,2,1.6077770693214783e-11,6.000155998057559e-10,1066077.3166820093,33774.83574877171,6.505728288345031e+31,2.0622269857782233e+30
1024,3,1.6126437883168922e-11,4.785916958680513e-12,53108.0356718434,1613.4609582855435,1.9438570528206468e+20,6.012872360087026e+18
1024,4,1.8172033702133976e-11,3.177324208498731e-11,64859.921823762495,2040.008658781536,7.34767403476584e+20,2.223929038928594e+19
1024,5,1.9940634280556763e-11,8.799891952230441e-10,3428442.631625533,105546.49136060414,nan,nan
1024,6,1.9031383974582677e-11,1.0658520019327277e-11,11197.472905530549,367.55782669669117,4.989677333487288e+21,1.572099703806114e+20
1024,7,1.5329151254243556e-11,2.1087191049385447e-12,66114.55067303569,2009.576962787345,9.520434495818941e+21,2.8839929082533364e+20
1024,8,1.562783642303356e-11,4.273707521501727e-12,20732.16699186447,638.3287595888442,9.739000902546932e+18,3.1672435417400845e+17
1024,9,1.9204021025577003e-11,9.245807838149163e-12,61574.70972075661,1913.6738253298631,9.376801782239514e+20,2.9995644663867826e+19
1024,10,2.0723436605330003e-11,6.040776628092311e-12,33914.20100761033,1093.469223582369,4.509350990945895e+20,1.4109016711881925e+19
1024,11,1.6461072437020684e-11,2.0076366567724844e-11,82475.046653996,2545.673095430277,1.6300215155532895e+21,4.966469081144867e+19
1024,12,2.0196432750272672e-11,6.612858807166621e-12,30515.50934396264,929.6025954130336,2.3125959150300048e+22,7.31212555477804e+20
1024,13,2.0499488770951445e-11,6.759342489350092e-12,60043.2181915433,1869.0325001401022,1.6192896284346307e+18,5.022138776576799e+16
1024,14,1.6641765323092726e-11,3.1862522159483714e-11,35046.27955277786,1135.219403301989,5.578719096666109e+27,1.791724879930061e+26
