n,matrix,seed,residual,error
1024,random,12,2.0196432750272672e-11,6.612858807166621e-12
1024,random,13,2.0499488770951445e-11,6.759342489350092e-12
1024,random,14,1.6641765323092726e-11,3.1862522159483714e-11
1024,random,15,2.0206153938167946e-11,2.7378267355685066e-12
1024,random,16,1.752606659241101e-11,1.3369207769493357e-11
1024,random,17,1.6990591251710818e-11,7.880611720766425e-12
1024,random,18,1.6347373417053937e-11,5.385840487727966e-12
1024,random,19,1.608807064734735e-11,7.946828876263996e-12
1024,random,20,1.635778036827406e-11,1.0443165927364347e-11
1024,random,21,1.996562538674457e-11,7.151451242274291e-12
1024,random,22,1.6784899285053296e-11,7.299082249786812e-12
1024,random,23,1.5237805421823293e-11,3.4544721306811164e-12
1024,random,24,2.017321808023458e-11,4.61505119658721e-11
1024,random,25,1.809472904477531e-11,5.0676479296801024e-12
1024,random,26,1.595380783301195e-11,3.358357826245774e-12
1024,random,27,2.07409798992454e-11,7.487701240680071e-12
1024,random,28,1.679355124697829e-11,5.636497486451389e-12
1024,random,29,1.9172217867102198e-11,1.4650405835953846e-11
1024,random,30,1.749825598376222e-11,6.0595909809340614e-12
1024,random,31,1.6739410116319873e-11,9.531121390951781e-12
1024,random,32,1.7045607655650973e-11,4.496771373652392e-12
1024,random,33,1.880246432556142e-11,1.4075401325884817e-11
1024,random,34,1.9183168874474446e-11,3.1360821227198614e-11
1024,random,35,1.6945709273608064e-11,4.9705617458014586e-12
1024,random,36,1.751169044945943e-11,1.3667667343684113e-11
1024,random,37,1.484471608265929e-11,1.2659534387530733e-11
1024,random,38,2.0102415856661764e-11,1.3746684819033158e-11
1024,random,39,1.7377587885743312e-11,4.435219201772794e-12
1024,random,40,1.7223854507955683e-11,5.593627499225611e-12
1024,random,41,1.579345407474181e-11,1.2656568740882653e-11
1024,random,42,1.951757598110282e-11,3.8705849914881134e-10
1024,random,43,2.0287951706760817e-11,3.5893693763050803e-12
1024,random,44,1.64119790490455e-11,1.7741129195863358e-11
1024,random,45,1.9708406548743395e-11,5.784528458957336e-12
1024,random,46,1.815753652223952e-11,2.6381000422844893e-11
1024,random,47,1.6439241546226296e-11,7.624768366027027e-12
1024,random,48,1.839476045202235e-11,6.760248050288816e-12
1024,random,49,2.0461220477353918e-11,3.68860824861894e-11
